Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"BHMS, MD - Homeopathy",24 years experience,100%,"Kakkanad, Ernakulam",Homeopath,"100% 16 Feedback Kakkanad, Ernakulam",100
"BAMS, MD - Ayurveda Medicine",12 years experience,98%,"Whitefield, Bangalore",Ayurveda,"98% 76 Feedback Whitefield, Bangalore",350
"MBBS, MS - Otorhinolaryngology",9 years experience,,"Mathikere - BEL, Bangalore",ENT Specialist,,300
"BSc - Zoology, BAMS",12 years experience,,"Bannerghatta Road, Bangalore",Ayurveda,"Bannerghatta Road, Bangalore ₹250 Available on Sun, 10 Feb",250
BAMS,20 years experience,100%,"Keelkattalai, Chennai",Ayurveda,"100% 4 Feedback Keelkattalai, Chennai",250
BAMS,8 years experience,,"Porur, Chennai",Ayurveda,,100
BHMS,42 years experience,,"Karol Bagh, Delhi",Homeopath,,200
BDS,10 years experience,99%,"Arekere, Bangalore",Dentist,Dental Fillings Crowns and Bridges Fixing Impaction / Impacted Tooth Extraction,200
"MBBS, MD - General Medicine",14 years experience,,"Old City, Hyderabad",General Medicine,,100
"BSc, BDS",23 years experience,,"Athani, Ernakulam",Dentist,,100
"MBBS, MS, DNB - ENT",5 years experience,,"Thousand Lights, Chennai",ENT Specialist,,700
BAMS,7 years experience,,"Somajiguda, Hyderabad",Ayurveda,,100
"BDS, MDS",9 years experience,98%,"Coimbatore Racecourse, Coimbatore",Dentist,"98% 14 Feedback Coimbatore Racecourse, Coimbatore",200
"BDS, MDS - Oral & Maxillofacial Surgery",21 years experience,,"Jubilee Hills, Hyderabad",Dentist,Dental Crowns Facet Dental Dental prophylaxis,350
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",12 years experience,,"Kondli, Delhi",ENT Specialist,,500
"MBBS, MD - General Medicine",10 years experience,,"Saroor Nagar, Hyderabad",General Medicine,,200
"MBBS, Diploma in Otorhinolaryngology (DLO)",24 years experience,,"Tambaram West, Chennai",ENT Specialist,,100
"MBBS, MF- Homeopathy",5 years experience,,"Purasawakkam, Chennai",Homeopath,,300
"MBBS, MS - ENT",19 years experience,79%,"KPHB, Hyderabad",ENT Specialist,"79% 8 Feedback KPHB, Hyderabad",400
MBBS,19 years experience,100%,"HSR Layout, Bangalore",General Medicine,"100% 4 Feedback HSR Layout, Bangalore",150
"MDS, DNB, BDS",21 years experience,100%,"Pollachi, Coimbatore",Dentist,"100% 7 Feedback Pollachi, Coimbatore",100
"MBBS, DNB - ENT",14 years experience,,"Vasundhra Enclave, Delhi",ENT Specialist,Adenoid / Tonsil Surgery Rhinoplasty Laryngoscopy,500
MBBS,41 years experience,,"Chembur, Mumbai",General Medicine,,200
"MBBS, Fellowship of College of General Practice (FCGP)",31 years experience,,"Thammanam, Ernakulam",General Medicine,,100
"MBBS, DDVL",23 years experience,,"Andheri, Mumbai",Dermatologists,,100
BDS,5 years experience,,"Pattom, Thiruvananthapuram",Dentist,,100
"MBBS, IBCLC (USA)",25 years experience,100%,"HSR Layout, Bangalore",General Medicine,"100% 46 Feedback HSR Layout, Bangalore",500
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",12 years experience,95%,"Kukatpally, Hyderabad",General Medicine,"95% 6 Feedback Kukatpally, Hyderabad",250
