,Qualification,Experiece,Ratings,Place,Profile,Fees
0,MD,24.0,100.0,Ernakulam,Homeopath,100
1,MD,12.0,98.0,Bangalore,Ayurveda,350
2,MBBS,9.0,94.6425884123401,Bangalore,ENT Specialist,300
3,BAMS,12.0,94.6425884123401,Bangalore,Ayurveda,250
4,BAMS,20.0,100.0,Chennai,Ayurveda,250
5,BAMS,8.0,94.6425884123401,Chennai,Ayurveda,100
6,BHMS,42.0,94.6425884123401,Delhi,Homeopath,200
7,BDS,10.0,99.0,Bangalore,Dentist,200
8,MD,14.0,94.6425884123401,Hyderabad,General Medicine,100
9,BDS,23.0,94.6425884123401,Ernakulam,Dentist,100
10,MBBS,5.0,94.6425884123401,Chennai,ENT Specialist,700
11,BAMS,7.0,94.6425884123401,Hyderabad,Ayurveda,100
12,MD,9.0,98.0,Coimbatore,Dentist,200
13,MD,21.0,94.6425884123401,Hyderabad,Dentist,350
14,MBBS,12.0,94.6425884123401,Delhi,ENT Specialist,500
15,MD,10.0,94.6425884123401,Hyderabad,General Medicine,200
16,MBBS,24.0,94.6425884123401,Chennai,ENT Specialist,100
17,MBBS,5.0,94.6425884123401,Chennai,Homeopath,300
18,MBBS,19.0,79.0,Hyderabad,ENT Specialist,400
19,MBBS,19.0,100.0,Bangalore,General Medicine,150
20,MD,21.0,100.0,Coimbatore,Dentist,100
21,MBBS,14.0,94.6425884123401,Delhi,ENT Specialist,500
22,MBBS,41.0,94.6425884123401,Mumbai,General Medicine,200
23,MBBS,31.0,94.6425884123401,Ernakulam,General Medicine,100
24,MBBS,23.0,94.6425884123401,Mumbai,Dermatologists,100
25,BDS,5.0,94.6425884123401,Thiruvananthapuram,Dentist,100
26,MBBS,25.0,100.0,Bangalore,General Medicine,500
27,MD,12.0,95.0,Hyderabad,General Medicine,250
28,MD,16.0,94.6425884123401,Coimbatore,Dentist,100
29,MBBS,15.0,97.0,Delhi,Dermatologists,500
30,MBBS,7.0,97.0,Hyderabad,Dermatologists,500
31,BDS,11.0,94.6425884123401,Mumbai,Dentist,500
32,MBBS,14.0,94.0,Delhi,ENT Specialist,100
33,MD,23.0,88.0,Chennai,General Medicine,500
34,BAMS,9.0,94.6425884123401,Delhi,Ayurveda,300
35,MD,15.0,100.0,Delhi,Dentist,400
36,BDS,10.0,94.6425884123401,Delhi,Dentist,250
37,BHMS,12.0,90.0,Mumbai,Homeopath,300
38,MBBS,31.0,80.0,Delhi,ENT Specialist,100
39,MBBS,16.0,94.6425884123401,Mumbai,General Medicine,100
40,MD,8.0,100.0,Hyderabad,Dentist,250
41,BHMS,12.0,100.0,Mumbai,Homeopath,500
42,BAMS,31.0,100.0,Bangalore,Ayurveda,500
43,BAMS,8.0,94.6425884123401,Hyderabad,Ayurveda,300
44,MD,22.0,99.0,Mumbai,Homeopath,500
45,MD,7.0,94.6425884123401,Hyderabad,Dermatologists,500
46,MD,16.0,100.0,Hyderabad,Dentist,200
47,MBBS,31.0,94.6425884123401,Hyderabad,General Medicine,200
48,MBBS,8.0,93.0,Hyderabad,Dermatologists,400
49,MD,10.0,94.6425884123401,Coimbatore,Dentist,200
50,MBBS,42.0,94.6425884123401,Hyderabad,General Medicine,100
51,BAMS,9.0,94.6425884123401,Chennai,Ayurveda,150
52,MBBS,22.0,94.6425884123401,Hyderabad,Dermatologists,650
53,BDS,10.0,100.0,Mumbai,Dentist,100
54,BAMS,9.0,100.0,Hyderabad,Ayurveda,300
55,MBBS,25.0,36.0,Bangalore,ENT Specialist,600
56,BDS,14.0,100.0,Bangalore,Dentist,200
57,MD,11.0,97.0,Bangalore,Dermatologists,400
58,MD,24.0,94.6425884123401,Chennai,General Medicine,500
59,MD,38.0,99.0,Bangalore,General Medicine,500
60,MD,8.0,94.6425884123401,Chennai,General Medicine,500
61,MD,12.0,99.0,Hyderabad,Dentist,200
62,MD,14.0,98.0,Delhi,Dentist,200
63,BHMS,5.0,94.6425884123401,Delhi,Homeopath,150
64,BHMS,22.0,94.6425884123401,Delhi,Homeopath,200
65,BHMS,14.0,100.0,Bangalore,Homeopath,200
66,MD,6.0,100.0,Mumbai,Dentist,500
67,MD,36.0,78.0,Hyderabad,Dermatologists,500
68,BHMS,6.0,94.6425884123401,Chennai,Homeopath,150
69,MBBS,13.0,99.0,Delhi,ENT Specialist,500
70,MD,13.0,93.0,Delhi,Dentist,300
71,MBBS,11.0,94.6425884123401,Delhi,ENT Specialist,300
72,BHMS,18.0,94.6425884123401,Mumbai,Homeopath,100
73,MBBS,46.0,94.6425884123401,Mumbai,General Medicine,100
74,MD,41.0,87.0,Hyderabad,Dermatologists,350
75,MD,40.0,93.0,Hyderabad,General Medicine,500
76,MD,7.0,94.6425884123401,Chennai,Dentist,100
77,MD,13.0,98.0,Coimbatore,Dentist,300
78,MD,12.0,97.0,Delhi,Dermatologists,600
79,MD,10.0,94.6425884123401,Hyderabad,Dentist,200
80,MD,49.0,94.6425884123401,Chennai,General Medicine,100
81,BDS,9.0,94.6425884123401,Hyderabad,Dentist,250
82,BAMS,20.0,94.6425884123401,Delhi,Ayurveda,50
83,MBBS,11.0,99.0,Mumbai,Dermatologists,100
84,MD,10.0,100.0,Bangalore,Dentist,200
85,MD,16.0,94.6425884123401,Thiruvananthapuram,General Medicine,150
86,MD,24.0,99.0,Delhi,Dentist,500
87,MD,33.0,94.6425884123401,Delhi,Dermatologists,700
