,Qualification,Experience,Rating,Place,Profile,Fees
0,"MD,BHMS",24,100,Ernakulam,Unknown,100
1,"MD,BAMS",12,98,Bangalore,Unknown,350
2,MBBS,9,0,Bangalore,Unknown,300
3,BAMS,12,0,Bangalore,Unknown,250
4,BAMS,20,100,Chennai,Unknown,250
5,BAMS,8,0,Chennai,Unknown,100
6,BHMS,42,0,Delhi,Unknown,200
7,BDS,10,99,Bangalore,Unknown,200
8,"MD,MBBS",14,0,Hyderabad,Unknown,100
9,BDS,23,0,Ernakulam,Unknown,100
10,"MBBS,DNB",5,0,Chennai,Unknown,700
11,BAMS,7,0,Hyderabad,Unknown,100
12,"MD,BDS,MDS",9,98,Coimbatore,Unknown,200
13,"MD,BDS,MDS",21,0,Hyderabad,Unknown,350
14,"MBBS,DNB,DLO",12,0,Delhi,Unknown,500
15,"MD,MBBS",10,0,Hyderabad,Unknown,200
16,"MBBS,DLO",24,0,Chennai,Unknown,100
17,MBBS,5,0,Chennai,Unknown,300
18,MBBS,19,79,Hyderabad,Unknown,400
19,MBBS,19,100,Bangalore,Unknown,150
20,"MD,BDS,MDS,DNB",21,100,Coimbatore,Unknown,100
21,"MBBS,DNB",14,0,Delhi,Unknown,500
22,MBBS,41,0,Mumbai,Unknown,200
23,MBBS,31,0,Ernakulam,Unknown,100
24,"MBBS,DDVL,DDV",23,0,Mumbai,Unknown,100
25,BDS,5,0,Thiruvananthapuram,Unknown,100
26,MBBS,25,100,Bangalore,Unknown,500
27,"MD,MBBS",12,95,Hyderabad,Unknown,250
28,"MD,BDS,MDS",16,0,Coimbatore,Unknown,100
29,"MBBS,Diploma in Dermatology",15,97,Delhi,Unknown,500
30,"MBBS,DDVL,DDV",7,97,Hyderabad,Unknown,500
31,BDS,11,0,Mumbai,Dentist,500
32,MBBS,14,94,Delhi,Unknown,100
33,"MD,MBBS",23,88,Chennai,Unknown,500
34,BAMS,9,0,Delhi,Unknown,300
35,"MD,BDS,MDS",15,100,Delhi,Unknown,400
36,BDS,10,0,Delhi,Dentist,250
37,BHMS,12,90,Mumbai,Unknown,300
38,"MBBS,DNB",31,80,Delhi,Unknown,100
39,MBBS,16,0,Mumbai,Unknown,100
40,"MD,BDS,MDS",8,100,Hyderabad,Unknown,250
41,BHMS,12,100,Mumbai,Unknown,500
42,BAMS,31,100,Bangalore,Unknown,500
43,BAMS,8,0,Hyderabad,Unknown,300
44,MD,22,99,Mumbai,Unknown,500
45,"MD,MBBS",7,0,Hyderabad,Unknown,500
46,"MD,BDS,MDS",16,100,Hyderabad,Unknown,200
47,MBBS,31,0,Hyderabad,Unknown,200
48,"MBBS,DDVL,DDV",8,93,Hyderabad,Unknown,400
49,"MD,BDS,MDS",10,0,Coimbatore,Unknown,200
50,MBBS,42,0,Hyderabad,Unknown,100
51,BAMS,9,0,Chennai,Unknown,150
52,"MBBS,DDVL,DDV",22,0,Hyderabad,Unknown,650
53,BDS,10,100,Mumbai,Unknown,100
54,BAMS,9,100,Hyderabad,Unknown,300
55,MBBS,25,36,Bangalore,Unknown,600
56,BDS,14,100,Bangalore,Unknown,200
57,"MD,MBBS",11,97,Bangalore,Unknown,400
58,"MD,MBBS,DNB",24,0,Chennai,Unknown,500
59,"MD,MBBS",38,99,Bangalore,Unknown,500
60,"MD,MBBS",8,0,Chennai,Unknown,500
61,"MD,BDS,MDS",12,99,Hyderabad,Unknown,200
62,"MD,BDS,MDS",14,98,Delhi,Unknown,200
63,BHMS,5,0,Delhi,Unknown,150
64,BHMS,22,0,Delhi,Unknown,200
65,BHMS,14,100,Bangalore,Unknown,200
66,"MD,BDS,MDS",6,100,Mumbai,Unknown,500
67,"MD,MBBS,DDVL,DDV",36,78,Hyderabad,Unknown,500
68,BHMS,6,0,Chennai,Unknown,150
69,MBBS,13,99,Delhi,Unknown,500
70,"MD,BDS,MDS",13,93,Delhi,Dentist,300
71,MBBS,11,0,Delhi,Unknown,300
72,BHMS,18,0,Mumbai,Unknown,100
73,MBBS,46,0,Mumbai,Unknown,100
74,"MD,MBBS",41,87,Hyderabad,Unknown,350
75,"MD,MBBS",40,93,Hyderabad,Unknown,500
76,"MD,BDS,MDS",7,0,Chennai,Unknown,100
77,"MD,BDS,MDS",13,98,Coimbatore,Dentist,300
78,"MD,MBBS",12,97,Delhi,Unknown,600
79,"MD,BDS,MDS",10,0,Hyderabad,Unknown,200
80,"MD,MBBS",49,0,Chennai,Unknown,100
81,BDS,9,0,Hyderabad,Dentist,250
82,BAMS,20,0,Delhi,Unknown,50
83,"MBBS,DDV",11,99,Mumbai,Unknown,100
84,"MD,BDS,MDS",10,100,Bangalore,Dentist,200
85,"MD,MBBS",16,0,Thiruvananthapuram,Unknown,150
86,"MD,BDS,MDS",24,99,Delhi,Unknown,500
87,"MD,MBBS",33,0,Delhi,Unknown,700
88,MD,10,94,Chennai,Unknown,250
89,MBBS,36,0,Hyderabad,Unknown,50
90,BAMS,8,0,Mumbai,Unknown,50
91,Get inspired by remarkable stories of people like you,0,0,Unknown,Unknown,100
92,"MD,BAMS",15,0,Chennai,Unknown,250
93,"MD,BDS,MDS",7,100,Mumbai,Unknown,200
94,"MD,BDS,MDS",12,100,Mumbai,Dentist,500
95,BHMS,12,100,Bangalore,Unknown,500
96,"MD,MBBS",13,97,Delhi,Unknown,700
97,"MBBS,DDVL,DDV",24,0,Chennai,Unknown,200
98,BAMS,27,0,Mumbai,Unknown,100
99,"MD,BDS,MDS",12,98,Hyderabad,Unknown,200
100,"MD,BHMS",9,0,Bangalore,Unknown,500
101,BDS,16,100,Bangalore,Dentist,200
102,"MD,BDS,MDS",22,99,Thiruvananthapuram,Unknown,200
103,"MD,BDS,MDS",20,100,Chennai,Unknown,100
104,PhD,30,98,Ernakulam,Unknown,300
105,MBBS,52,0,Chennai,Unknown,100
106,MBBS,13,90,Bangalore,Unknown,350
107,"MD,BDS,MDS",19,0,Chennai,Unknown,300
108,BAMS,16,100,Bangalore,Unknown,300
109,BDS,10,0,Delhi,Unknown,250
110,MBBS,60,0,Delhi,Unknown,100
111,BAMS,12,96,Mumbai,Unknown,100
112,"MBBS,Diploma in Dermatology",11,90,Bangalore,Unknown,500
113,BDS,15,100,Chennai,Unknown,200
114,"MD,BDS,MDS",6,100,Bangalore,Unknown,250
115,"MD,MBBS",5,0,Hyderabad,Unknown,500
116,BDS,9,0,Ernakulam,Unknown,200
117,"MBBS,DDV",21,95,Mumbai,Unknown,100
118,BDS,7,0,Ernakulam,Unknown,250
119,"MD,BAMS",20,0,Mumbai,Unknown,500
120,BAMS,10,0,Delhi,Unknown,150
121,BHMS,12,0,Chennai,Unknown,100
122,BHMS,12,0,Bangalore,Unknown,500
123,BHMS,26,82,Bangalore,Unknown,200
124,"MBBS,DLO",31,0,Chennai,Unknown,200
